angular_noise_degrees,chirality_corruption_probability,north_south_accuracy,north_south_95ci_lower,north_south_95ci_upper,east_west_accuracy,east_west_95ci_lower,east_west_95ci_upper
0.0,0.0,1.0,0.9990405567102987,1.0000000000000002,1.0,0.9990405567102987,1.0000000000000002
0.0,0.01,1.0,0.9990405567102987,1.0000000000000002,0.9915,0.9881460174434817,0.9939108498027418
0.0,0.05,1.0,0.9990405567102987,1.0000000000000002,0.9485,0.9412102572793271,0.9549291220898108
0.0,0.1,1.0,0.9990405567102987,1.0000000000000002,0.895,0.8851180041126476,0.9041240356884883
0.0,0.2,1.0,0.9990405567102987,1.0000000000000002,0.8,0.7873188714795929,0.8121054625465864
0.0,0.4,1.0,0.9990405567102987,1.0000000000000002,0.60225,0.5869914415518415,0.6173123522954146
0.01,0.0,1.0,0.9990405567102987,1.0000000000000002,1.0,0.9990405567102987,1.0000000000000002
0.01,0.01,1.0,0.9990405567102987,1.0000000000000002,0.99075,0.9872767450442724,0.9932815613668856
0.01,0.05,1.0,0.9990405567102987,1.0000000000000002,0.95175,0.9446647029553098,0.957968440032445
0.01,0.1,1.0,0.9990405567102987,1.0000000000000002,0.9055,0.8960417293713071,0.9141801621207449
0.01,0.2,1.0,0.9990405567102987,1.0000000000000002,0.78675,0.7737844994431169,0.7991652598302392
0.01,0.4,1.0,0.9990405567102987,1.0000000000000002,0.6005,0.5852319081789618,0.6155752437198084
0.05,0.0,1.0,0.9990405567102987,1.0000000000000002,1.0,0.9990405567102987,1.0000000000000002
0.05,0.01,1.0,0.9990405567102987,1.0000000000000002,0.9865,0.9824283037500674,0.9896381579290532
0.05,0.05,1.0,0.9990405567102987,1.0000000000000002,0.94775,0.9404141715113069,0.9542266470227655
0.05,0.1,1.0,0.9990405567102987,1.0000000000000002,0.90175,0.8921367425246262,0.9105923447920988
0.05,0.2,1.0,0.9990405567102987,1.0000000000000002,0.80725,0.7947333528505196,0.819177069247959
0.05,0.4,1.0,0.9990405567102987,1.0000000000000002,0.5865,0.57116286394748,0.6016711523634017
0.1,0.0,1.0,0.9990405567102987,1.0000000000000002,1.0,0.9990405567102987,1.0000000000000002
0.1,0.01,1.0,0.9990405567102987,1.0000000000000002,0.9905,0.9869880788141053,0.9930707073186976
0.1,0.05,1.0,0.9990405567102987,1.0000000000000002,0.9475,0.9401488972315901,0.9539924010241272
0.1,0.1,1.0,0.9990405567102987,1.0000000000000002,0.902,0.8923969445988842,0.9108316629961959
0.1,0.2,1.0,0.9990405567102987,1.0000000000000002,0.8,0.7873188714795929,0.8121054625465864
0.1,0.4,1.0,0.9990405567102987,1.0000000000000002,0.6015,0.5862373311036069,0.6165679019085839
0.25,0.0,1.0,0.9990405567102987,1.0000000000000002,1.0,0.9990405567102987,1.0000000000000002
0.25,0.01,1.0,0.9990405567102987,1.0000000000000002,0.99025,0.9866999234961226,0.9928593423583251
0.25,0.05,1.0,0.9990405567102987,1.0000000000000002,0.94825,0.940944851237259,0.9546950078535238
0.25,0.1,1.0,0.9990405567102987,1.0000000000000002,0.89625,0.886416817362041,0.9053228238308706
0.25,0.2,1.0,0.9990405567102987,1.0000000000000002,0.7925,0.7796553981097125,0.8047833275658121
0.25,0.4,1.0,0.9990405567102987,1.0000000000000002,0.60725,0.5920197947756778,0.6222744046386812
0.5,0.0,1.0,0.9990405567102987,1.0000000000000002,1.0,0.9990405567102987,1.0000000000000002
0.5,0.01,1.0,0.9990405567102987,1.0000000000000002,0.9895,0.9858383398711934,0.992222365148189
0.5,0.05,1.0,0.9990405567102987,1.0000000000000002,0.95325,0.9462618003207178,0.9593684643371679
0.5,0.1,1.0,0.9990405567102987,1.0000000000000002,0.90175,0.8921367425246262,0.9105923447920988
0.5,0.2,1.0,0.9990405567102987,1.0000000000000002,0.8,0.7873188714795929,0.8121054625465864
0.5,0.4,1.0,0.9990405567102987,1.0000000000000002,0.603,0.5877455891149378,0.6180567655673838
